基址	名称	JP_NAME	EN_NAME	备注&二级类别
main+02271355	时尚眼镜	ファッショングラス	Hip Glasses	
main+02271356	吊带	サスペンダー	Suspenders	
main+02271357	腰包	ウェストポーチ	Fanny Pack	
main+02271358	发夹	ヘアピン	Hairpin	
main+02271359	白银钥匙环	シルバーキーリング	Silver Key Ring	
main+0227135A	黑色裤袜	ブラックタイツ	Black Tights	
main+0227135B	网点裤袜	ドットタイツ	Dotted Tights	
main+0227135C	耳机	ヘッドホン	Headphones	
main+0227135D	正装领带	フォーマルタイ	Black Necktie	
main+0227135E	RESERVE	リザーブ	RESERVE	
main+0227135F	气息戒指	息吹のリング	Breath Ring	
main+02271360	毅力戒指	根気のリング	Energy Ring	
main+02271361	活力戒指	生気のリング	Ring of Vitality	
main+02271362	RESERVE	リザーブ	RESERVE	
main+02271363	RESERVE	リザーブ	RESERVE	
main+02271364	RESERVE	リザーブ	RESERVE	
main+02271365	脉轮项圈	チャクラチョーカー	Chakra Choker	
main+02271366	思维项圈	マインドチョーカー	Mind Choker	
main+02271367	灵魂项圈	ソウルチョーカー	Soul Choker	
main+02271368	RESERVE	リザーブ	RESERVE	
main+02271369	RESERVE	リザーブ	RESERVE	
main+0227136A	RESERVE	リザーブ	RESERVE	
main+0227136B	朱色手链	朱のブレスレット	Red Band	
main+0227136C	苍色手链	蒼のブレスレット	Blue Band	
main+0227136D	绿色手链	緑のブレスレット	Green Band	
main+0227136E	黄色手链	黄のブレスレット	Yellow Band	
main+0227136F	提灯项链	ランタンのネックレス	Lantern Necklace	
main+02271370	RESERVE	リザーブ	RESERVE	
main+02271371	RESERVE	リザーブ	RESERVE	
main+02271372	RESERVE	リザーブ	RESERVE	
main+02271373	星型手链	星型ブレスレット	Star Bracelet	
main+02271374	圆形手链	丸型ブレスレット	Circular Band	
main+02271375	纯白手链	純白のブレスレット	White Band	
main+02271376	漆黑手链	漆黒のブレスレット	Black Band	
main+02271377	RESERVE	リザーブ	RESERVE	
main+02271378	RESERVE	リザーブ	RESERVE	
main+02271379	RESERVE	リザーブ	RESERVE	
main+0227137A	RESERVE	リザーブ	RESERVE	
main+0227137B	怒火腕带	怒りのリストバンド	Raging Wristband	
main+0227137C	破天荒腰带	破天荒ベルト	Eccentric Belt	
main+0227137D	怒火腕带	リザーブ	RESERVE	
main+0227137E	休息磁气项链	休息磁気ネックレス	Magnetic Necklace	
main+0227137F	不屈不挠领带	七転び八起きネクタイ	PickMeUp Tie	
main+02271380	不动吊带	不動のサスペンダー	Sturdy Suspenders	
main+02271381	顽强腰带	頑強ベルト	Strength Belt	
main+02271382	梆子	柏子木	Wood Clappers	
main+02271383	肩颈热水袋	首巻き湯たんぽ	Hot Water Pouch	
main+02271384	橡胶手套	ゴム手袋	Rubber Gloves	
main+02271385	护目镜	遮光ゴーグル	Shield Goggles	
main+02271386	镇定口罩	鎮静マスク	Calming Mask	
main+02271387	粗犷的木屐	バンカラの下駄	Wooden Clogs	
main+02271388	备忘录	備忘録	Notebook	
main+02271389	饱腹斗篷	腹減らずのマント	WellFed Cape	
main+0227138A	觉醒紫水晶	メザメジスト	Sleepless Gem	
main+0227138B	息怒斗篷	怒らずのマント	Calming Cape	
main+0227138C	希望斗篷	希望のマント	Cape of Hope	
main+0227138D	怒火腕带	リザーブ	RESERVE	
main+0227138E	护脑器	ブレインガード	Brain Guard	
main+0227138F	避火护身符	火事除けのお守り	Burn Charm	
main+02271390	祛寒护身符	寒さ除けのお守り	Freeze Charm	
main+02271391	强打护身符	強打者のお守り	Grand Slam Charm	
main+02271392	防麻护身符	痺れ除けのお守り	Shockproof Charm	
main+02271393	RESERVE	リザーブ	RESERVE	
main+02271394	无畏斗篷	恐れずのマント	Fearless Cape	
main+02271395	RESERVE	リザーブ	RESERVE	
main+02271396	RESERVE	リザーブ	RESERVE	
main+02271397	RESERVE	リザーブ	RESERVE	
main+02271398	RESERVE	リザーブ	RESERVE	
main+02271399	希望护身符	希望のお守り	Despair Charm	
main+0227139A	RESERVE	リザーブ	RESERVE	
main+0227139B	RESERVE	リザーブ	RESERVE	
main+0227139C	报复的镜子	仕返しのミラー	Revenge Mirror	
main+0227139D	复仇的镜子	報復のミラー	Reprisal Mirror	
main+0227139E	天罚的镜子	天罰のミラー	Retribution Mirror	
main+0227139F	咖啡因贴片	カフェインバッチ	Caffeine Patch	
main+022713A0	薰衣草百花香	ラベンダーポプリ	Peaceful Potpourri	
main+022713A1	积极日历	ポジティブカレンダー	Positivity Calendar	
main+022713A2	高级墨镜	高級サングラス	Designer Shades	
main+022713A3	不乱斗篷	混乱除けマント	Clarity Cape	
main+022713A4	燃烧油包	炎上オイルパック	Oil Pack	
main+022713A5	保冷袋	保冷パック	Cooling Pack	
main+022713A6	电池组	電池パック	Portable Battery	
main+022713A7	眩目面具	目眩のマスク	Dizzy Mask	
main+022713A8	乱心面具	乱れたマスク	Mysterious Mask	
main+022713A9	惊悚面具	ホラーマスク	Sinister Mask	
main+022713AA	遗忘面具	忘却のマスク	Forgetful Mask	
main+022713AB	催眠面具	睡眠マスク	Drowsy Mask	
main+022713AC	小丑面具	道化のマスク	Clown Mask	
main+022713AD	世纪未面具	世紀末のマスク	Corrupting Mask	
main+022713AE	教祖面具	教祖のマスク	Occult Mask	
main+022713AF	色欲的戒指	色欲の指輪	Ring of Lust	
main+022713B0	虚荣的戒指	虚飾の指輪	Ring of Vanity	
main+022713B1	暴食的戒指	暴食の指輪	Ring of Gluttony	
main+022713B2	愤怒的戒指	憤怒の指輪	Ring of Wrath	
main+022713B3	贪婪的戒指	強欲の指輪	Ring of Greed	
main+022713B4	嫉妒的戒指	嫉妬の指輪	Ring of Envy	
main+022713B5	傲慢的戒指	傲慢の指輪	Ring of Pride	
main+022713B6	悲叹的戒指	悲嘆の指輪	Ring of Sorrow	
main+022713B7	悲叹的戒指	色欲の結晶	Crystal of Lust	
main+022713B8	色欲的结晶	虚飾の結晶	Crystal of Vanity	
main+022713B9	暴食的结晶	暴食の結晶	Crystal of Gluttony	
main+022713BA	愤怒的结晶	憤怒の結晶	Crystal of Wrath	
main+022713BB	贪婪的结晶	強欲の結晶	Crystal of Greed	
main+022713BC	嫉妒的结晶	嫉妬の結晶	Crystal of Envy	
main+022713BD	傲慢的结晶	傲慢の結晶	Crystal of Pride	
main+022713BE	悲叹的结晶	悲嘆の結晶	Crystal of Sorrow	
main+022713BF	RESERVE	リザーブ	RESERVE	
main+022713C0	RESERVE	リザーブ	RESERVE	
main+022713C1	RESERVE	リザーブ	RESERVE	
main+022713C2	RESERVE	リザーブ	RESERVE	
main+022713C3	罗刹衣带	羅刹の帯	Rakshasa Belt	
main+022713C4	金刚衣带	金剛の帯	Varja Belt	
main+022713C5	韦驮天衣带	韋駄天の帯	Skanda Belt	
main+022713C6	王牌棒球帽	エースのキャップ	Ace Cap	
main+022713C7	顽强的缠腰	頑強の腹巻	Willful Belt	
main+022713C8	鱼饵钥匙圈	ルアーのキーホルダー	Lure Keychain	
main+022713C9	英勇背带	紅蓮のリング	Bravery Sash	
main+022713CA	魔导幸运手环	イグニスリング	Magic Misanga	
main+022713CB	冥府的竖琴	冥府の竪琴	Hades Harp	
main+022713CC	冥府的竖琴R	冥府の竪琴R	Hades Harp R	
main+022713CD	黑暗之轮	黒き闇輪	Darkness Ring	
main+022713CE	黑暗之轮R	黒き闇輪R	Darkness Ring R	
main+022713CF	纯白的头带	純白の鉢巻	White Headband	
main+022713D0	纯白的头带R	純白の鉢巻R	White Headband R	
main+022713D1	漆黑的头带	漆黒の鉢巻	Black Headband	
main+022713D2	漆黑的头带R	漆黒の鉢巻R	Black Headband R	
main+022713D3	红丝线球	赤い糸玉	Red String	
main+022713D4	红丝线球R	赤い糸玉R	Red String R	
main+022713D5	雷光角	雷光の角	Blazing Horn	
main+022713D6	雷光角R	雷光の角R	Inferno Horn	
main+022713D7	黑月	黒い月	Black Moon	
main+022713D8	黑月R	黒い月R	Black Moon R	
main+022713D9	RESERVE	リザーブ	RESERVE	
main+022713DA	优美的竖琴	優美の竪琴	Graceful Harp	
main+022713DB	优美的竖琴R	優美の竪琴R	Graceful Harp R	
main+022713DC	子弹鞋	クーゲルバイン	Kugelbein	
main+022713DD	子弹鞋R	クーゲルバインR	Kugelbein R	
main+022713DE	光明的头带	光明の鉢巻	Shiny Belt	
main+022713DF	光明的头带R	光明の鉢巻R	Shiny Belt R	
main+022713E0	怪盗绅士礼帽	怪盗紳士ハット	Picaresque Hat	
main+022713E1	大怪盗礼帽	大怪盗ハット	Picaresque Crown	
main+022713E2	RESERVE	リザーブ	RESERVE	
main+022713E3	RESERVE	リザーブ	RESERVE	
main+022713E4	武士眼罩	武士の眼帯	Bold Eyepatch	
main+022713E5	高级・压力袜	高級・着圧ソックス	Compression Socks	
main+022713E6	RESERVE	リザーブ	RESERVE	
main+022713E7	防火项圈	火避けのチョーカー	Fireproof Choker	
main+022713E8	防焰手镯	火避けの腕輪	Fireproof Bracelet	
main+022713E9	RESERVE	リザーブ	RESERVE	
main+022713EA	防冰项圈	氷避けのチョーカー	Iceproof Choker	
main+022713EB	防冰雪手镯	氷雪避けの腕輪	Iceproof Bracelet	
main+022713EC	RESERVE	リザーブ	RESERVE	
main+022713ED	雷神护符	雷神の護符	Elecproof Choker	
main+022713EE	防紫电手镯	紫電避けの腕輪	Elecproof Bracelet	
main+022713EF	RESERVE	リザーブ	RESERVE	
main+022713F0	风神护符	風神の護符	Windproof Choker	
main+022713F1	防强风手镯	強風避けの腕輪	Windproof Bracelet	
main+022713F2	RESERVE	リザーブ	RESERVE	
main+022713F3	防热项圈	熱避けのチョーカー	Nukeproof Choker	
main+022713F4	防热浪手镯	熱波避けの腕輪	Nukeproof Bracelet	
main+022713F5	RESERVE	リザーブ	RESERVE	
main+022713F6	防精神力项圈	思念避けのチョーカー	Psyproof Choker	
main+022713F7	防念力手镯	念力避けの腕輪	Psyproof Bracelet	
main+022713F8	RESERVE	リザーブ	RESERVE	
main+022713F9	防光项圈	光避けのチョーカー	Blessproof Choker	
main+022713FA	防威严手镯	威光避けの腕輪	Blessproof Bracelet	
main+022713FB	RESERVE	リザーブ	RESERVE	
main+022713FC	防诅咒项圈	呪い避けのチョーカー	Curseproof Choker	
main+022713FD	消灾发簪	厄除けかんざし	Apotropaic Hairpin	
main+022713FE	RESERVE	リザーブ	RESERVE	
main+022713FF	大天使纹章	大天使のワッペン	Angel Badge	
main+02271400	RESERVE	リザーブ	RESERVE	
main+02271401	RESERVE	リザーブ	RESERVE	
main+02271402	缩时戒指	時短リング	Expedite Ring	
main+02271403	RESERVE	リザーブ	RESERVE	
main+02271404	RESERVE	リザーブ	RESERVE	
main+02271405	RESERVE	リザーブ	RESERVE	
main+02271406	RESERVE	リザーブ	RESERVE	
main+02271407	RESERVE	リザーブ	RESERVE	
main+02271408	RESERVE	リザーブ	RESERVE	
main+02271409	RESERVE	リザーブ	RESERVE	
main+0227140A	RESERVE	リザーブ	RESERVE	
main+0227140B	摄政王	リージェント	Regent	
main+0227140C	王后的项链	女王の首飾り	Queen's Necklace	
main+0227140D	命运之石	スクーンの石	Stone of Scone	
main+0227140E	光之山	コ・イ・ヌール	KohiNoor	
main+0227140F	奥尔洛夫	オルロフ	Orlov	
main+02271410	大帝的护符	大帝の護符	Emperor's Charm	
main+02271411	希望钻石	ホープダイヤ	Hope Diamond	
main+02271412	水晶骷髅	水晶髑髏	Crystal Skull	
main+02271413	十字架吊饰	十字架のチャーム	CrossShaped Charm	
main+02271414	海幸彦腰带	海幸彦ベルト	Umi Sachihiko's Belt	
main+02271415	韦驮天腰带	韋駄天のベルト	Idaten's Belt	
main+02271416	殿堂腰带	殿堂のベルト	Hall of Fame Belt	
main+02271417	怪盗面具	怪盗マスク	Thief Mask	
main+02271418	黑之石	黒い石	Black Rock	
main+02271419	骷髅吊饰	ドクロのチャーム	Skull Charm	
main+0227141A	红莲项链	紅蓮のネックレス	Crimson Necklace	
main+0227141B	银冰项链	銀氷のネックレス	Silver Ice Necklace	
main+0227141C	绿风项链	緑風のネックレス	Jade Wind Necklace	
main+0227141D	紫电项链	紫電のネックレス	Purple Bolt Necklace	
main+0227141E	原子项链	原子のネックレス	Atom Necklace	
main+0227141F	念波项链	念波のネックレス	Psy Necklace	
main+02271420	圣天项链	聖天のネックレス	Heavenly Necklace	
main+02271421	暗夜项链	闇夜のネックレス	Night Necklace	
main+02271422	RESERVE	リザーブ	RESERVE	
main+02271423	梅内胡内链子		Menehune Dolls	
main+02271424	夏威夷鲜花戒指	ハワイアンレイの指輪	Hawaiian Ring	
main+02271425	佛钮司徽章	フォルネウスバッジ	Forneus Badge	
main+02271426	垢铁徽章	あか鉄バッジ	Train Badge	
main+02271427	豪血寺徽章	豪血寺バッジ	PI Badge	
main+02271428	神拳de徽章	パンチｄｅバッジ	Punch Badge	
main+02271429	招摇撞骗徽章	はったれバッジ	Gambla Badge	
main+0227142A	高尔夫徽章	ゴルフバッジ	Golfer Badge	
main+0227142B	铁人腰带	タフガイのベルト	Tough Belt	
main+0227142C	帅哥手镜	伊達男のハンドミラー	Dandy Mirror	
main+0227142D	卢布朗的护身符	ルブランのお守り	Leblanc Charm	
main+0227142E	老板严选内裤	マスターパンツ	Boss Undies	
main+0227142F	二等海员徽章	二等航海士バッジ	2nd Mate Badge	
main+02271430	等海员徽章	一等航海士バッジ	1st Mate Badge	
main+02271431	船长徽章	キャプテンバッジ	Captain Badge	
main+02271432	小治愈促进贴片	小治癒促進パッチ	Regen Patch 1	
main+02271433	中治愈促进贴片	中治癒促進パッチ	Regen Patch 2	
main+02271434	大治愈促进贴片	大治癒促進パッチ	Regen Patch 3	
main+02271435	贴贴小气功	貼る小気功	SP Adhesive 1	
main+02271436	贴贴中气功	貼る中気功	SP Adhesive 2	
main+02271437	贴贴大气功	貼る大気功	SP Adhesive 3	
main+02271438	RESERVE	リザーブ	RESERVE	
main+02271439	RESERVE	リザーブ	RESERVE	
main+0227143A	胜利的祝酒杯	勝利の祝杯	The Victory Cup	
main+0227143B	鱼神徽章	魚神のバッジ	Fish God's Badge	
main+0227143C	全能真球	全能の真球	Omnipotent Orb	
main+0227143D	完全神柱	完全神柱	Divine Pillar	
main+0227143E	看不见的面纱	不可視のベール	Invisible Veil	
main+0227143F	RESERVE	リザーブ	RESERVE	
main+02271440	执着珍珠	執着真珠	Attachment Pearl	
main+02271441	扩灾束腰	迷惑腰巻	Nuisance Belt	
main+02271442	RESERVE	リザーブ	RESERVE	
main+02271443	RESERVE	リザーブ	RESERVE	
main+02271444	RESERVE	リザーブ	RESERVE	
main+02271445	神圣之石	ホーリーストーン（イベント）	Holy Stone	
main+02271446	自称特别搜查队眼镜	自称特别捜査隊メガネ	Team Glasses	
main+02271447	特别课外活动部臂章	特别課外活動部の腕章	S.E.E.S. Armband	
main+02271448	七姐妹纹章	セブンスエンブレム	Sevens Emblem	
main+02271449	圣艾尔敏学园校徽	聖エルミン学園校章	St. Hermelin Badge	
main+0227144A	携带型计算机	ハンドヘルドCPU	ARM PC	
main+0227144B	深夜头巾	マヨナカのバンダナ	Midnight Bandana	
main+0227144C	携带用・召唤枪	携帯用・召喚銃	Evoker	
main+0227144D	海龟吊饰	ホヌのチャーム	Honu Charm	
main+0227144E	堤基钥匙圈	ティキキーホルダー	Tiki Keychain	
