基址	名称	JP_NAME	EN_NAME	角色/性别	备注&二级类别
main+02272254	----------	----------	----------	-	
main+02272255	秀尽学园高中校服・冬	秀尽学園高校制服・冬	Shujin Uniform	ALL	无模型皮肤
main+02272256	----------	----------	----------	-	
main+02272257	----------	----------	----------	-	
main+02272258	----------	----------	----------	-	
main+02272259	----------	----------	----------	-	
main+0227225A	----------	----------	----------	-	
main+0227225B	----------	----------	----------	-	
main+0227225C	----------	----------	----------	-	
main+0227225D	----------	----------	----------	-	
main+0227225E	----------	----------	----------	-	
main+0227225F	----------	----------	----------	-	
main+02272260	----------	----------	----------	-	
main+02272261	暗黑装	ダークスーツ	Dark Suit	明智吾郎	
main+02272262	----------	----------	----------	-	
main+02272263	----------	----------	----------	-	
main+02272264	幻影装	ファントムスーツ	Phantom Suit	主人公	
main+02272265	海盗护甲	パイレーツアーマー	Pirate Armor	坂本龙司	
main+02272266	摩尔加纳套装	モルガナセット	Morgana Classic	摩尔加纳	
main+02272267	红色橡胶紧身衣	レッドラバースーツ	Red Latex Suit	高卷杏	
main+02272268	盗贼服	盗み装束	Outlaw's Attire	喜多川佑介	
main+02272269	金属骑土装	メタルライダース	Metal Rider	新岛真	
main+0227226A	火枪手的正装	銃士の正装	Musketeer Suit	奥村春	
main+0227226B	电子装	サイバースーツ	Cyber Gear	佐仓双叶	
main+0227226C	王子装	プリンススーツ	Prince Suit	明智吾郎	
main+0227226D	黑色半体服	ブラックレオタード	Black Leotard	芳泽霞	
main+0227226E	反抗的校服・夏	反逆の制服・夏	Summer Uniform	主人公	
main+0227226F	反抗的校服・夏	反逆の制服・夏	Summer Uniform	坂本龙司	
main+02272270	----------	----------	----------	-	
main+02272271	反抗的校服・夏	反逆の制服・夏	Summer Uniform	高卷杏	
main+02272272	反抗的校服・夏	反逆の制服・夏	Summer Uniform	喜多川佑介	
main+02272273	反抗的校服・夏	反逆の制服・夏	Summer Uniform	新岛真	
main+02272274	反抗的校服・夏	反逆の制服・夏	Summer Uniform	奥村春	
main+02272275	----------	----------	----------	-	
main+02272276	反抗的校服・夏	反逆の制服・夏	Summer Uniform	明智吾郎	
main+02272277	反抗的校服・夏	反逆の制服・夏	Summer Uniform	芳泽霞	
main+02272278	反抗的校服・冬	反逆の制服・冬	Winter Uniform	主人公	
main+02272279	反抗的校服・冬	反逆の制服・冬	Winter Uniform	坂本龙司	
main+0227227A	----------	----------	----------	-	
main+0227227B	反抗的校服・冬	反逆の制服・冬	Winter Uniform	高卷杏	
main+0227227C	反抗的校服・冬	反逆の制服・冬	Winter Uniform	喜多川佑介	
main+0227227D	反抗的校服・冬	反逆の制服・冬	Winter Uniform	新岛真	
main+0227227E	反抗的校服・冬	反逆の制服・冬	Winter Uniform	奥村春	
main+0227227F	----------	----------	----------	-	
main+02272280	反抗的校服・冬	反逆の制服・冬	Winter Uniform	明智吾郎	
main+02272281	反抗的校服・冬	反逆の制服・冬	Winter Uniform	芳泽霞	
main+02272282	反抗的便服・夏	反逆の私服・夏	Summer Clothes	主人公	
main+02272283	反抗的便服・夏	反逆の私服・夏	Summer Clothes	坂本龙司	
main+02272284	----------	----------	----------	-	
main+02272285	反抗的便服・夏	反逆の私服・夏	Summer Clothes	高卷杏	
main+02272286	反抗的便服・夏	反逆の私服・夏	Summer Clothes	喜多川佑介	
main+02272287	反抗的便服・夏	反逆の私服・夏	Summer Clothes	新岛真	
main+02272288	反抗的便服・夏	反逆の私服・夏	Summer Clothes	奥村春	
main+02272289	反抗的便服・夏	反逆の私服・夏	Summer Clothes	佐仓双叶	
main+0227228A	----------	----------	----------	-	
main+0227228B	反抗的便服・夏	反逆の私服・夏	Summer Clothes	芳泽霞	
main+0227228C	反抗的便服・冬	反逆の私服・冬	Winter Clothes	主人公	
main+0227228D	反抗的便服・冬	反逆の私服・冬	Winter Clothes	坂本龙司	
main+0227228E	----------	----------	----------	-	
main+0227228F	反抗的便服・冬	反逆の私服・冬	Winter Clothes	高卷杏	
main+02272290	反抗的便服・冬	反逆の私服・冬	Winter Clothes	喜多川佑介	
main+02272291	反抗的便服・冬	反逆の私服・冬	Winter Clothes	新岛真	
main+02272292	反抗的便服・冬	反逆の私服・冬	Winter Clothes	奥村春	
main+02272293	反抗的便服・冬	反逆の私服・冬	Winter Clothes	佐仓双叶	
main+02272294	反抗的便服・冬	反逆の私服・冬	Winter Clothes	明智吾郎	
main+02272295	反抗的便服・冬	反逆の私服・冬	Winter Clothes	芳泽霞	
main+02272296	反抗的运动服	反逆のジャージ	Tracksuit	主人公	
main+02272297	反抗的运动服	反逆のジャージ	Tracksuit	坂本龙司	
main+02272298	----------	----------	----------	-	
main+02272299	反抗的运动服	反逆のジャージ	Tracksuit	高卷杏	
main+0227229A	反抗的运动服	反逆のジャージ	Tracksuit	喜多川佑介	
main+0227229B	反抗的运动服	反逆のジャージ	Tracksuit	新岛真	
main+0227229C	反抗的运动服	反逆のジャージ	Tracksuit	奥村春	
main+0227229D	反抗的运动服	反逆のジャージ	Tracksuit	佐仓双叶	
main+0227229E	反抗的运动服	反逆のジャージ	Tracksuit	明智吾郎	
main+0227229F	反抗的运动服	反逆のジャージ	Tracksuit	芳泽霞	
main+022722A0	反抗的泳装	反逆の水着	Swimsuit	主人公	
main+022722A1	反抗的泳装	反逆の水着	Swimsuit	坂本龙司	
main+022722A2	----------	----------	----------	-	
main+022722A3	反抗的泳装	反逆の水着	Swimsuit	高卷杏	
main+022722A4	反抗的泳装	反逆の水着	Swimsuit	喜多川佑介	
main+022722A5	反抗的泳装	反逆の水着	Swimsuit	新岛真	
main+022722A6	反抗的泳装	反逆の水着	Swimsuit	奥村春	
main+022722A7	反抗的泳装	反逆の水着	Swimsuit	佐仓双叶	
main+022722A8	----------	----------	----------	-	
main+022722A9	反抗的泳装	反逆の水着	Swimsuit	芳泽霞	
main+022722AA	反抗的居家服	反逆の部屋着	Loungewear	主人公	
main+022722AB	----------	----------	----------	-	
main+022722AC	----------	----------	----------	-	
main+022722AD	----------	----------	----------	-	
main+022722AE	----------	----------	----------	-	
main+022722AF	----------	----------	----------	-	
main+022722B0	----------	----------	----------	-	
main+022722B1	反抗的居家服	反逆の部屋着	Loungewear	佐仓双叶	
main+022722B2	----------	----------	----------	-	
main+022722B3	----------	----------	----------	-	
main+022722B4	月光馆学园校服	月光館学園制服	Gekkoukan High	主人公	
