初始基址	EN_NAME	名称	JP_NAME	激活		ID		等级		特性		EXP				技能1		技能2		技能3		技能4		技能5		技能6		技能7		技能8		力	魔	耐	速	运														
	●HEX	●HEX	HEX→	00	01	02	03	04	05	06	07	08	09	0A	0B	0C	0D	0E	0F	10	11	12	13	14	15	16	17	18	19	1A	1B	1C	1D	1E	1F	20	21	22	23	24	25	26	27	28	29	2A	2B	2C	2D	2E
main+02273240	Abaddon	亚巴顿	アバドン	01	00	3B	00	4B	00	AF	00	00	00	00	00	19	00	CA	00	26	03	00	00	00	00	00	00	00	00	00	00	33	2A	3A	26	2B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273270	Agathion	阿珈席翁	アガシオン	01	00	83	00	03	00	46	00	00	00	00	00	2C	01	49	01	00	00	00	00	00	00	00	00	00	00	00	00	03	04	05	07	03	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022732A0	Alice	爱丽丝	アリス	01	00	2F	00	53	00	C4	00	00	00	00	00	3F	00	8B	03	45	00	00	00	00	00	00	00	00	00	00	00	2D	3D	31	36	2F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022732D0	Alilat	艾里拉特	アリラト	01	00	A9	01	51	00	9E	00	00	00	00	00	82	00	55	01	AD	03	00	00	00	00	00	00	00	00	00	00	2D	36	39	31	2D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273300	Ame-no-Uzume	天钿女	アメノウズメ	01	00	59	00	0D	00	A0	00	00	00	00	00	2B	00	21	00	31	01	49	00	00	00	00	00	00	00	00	00	07	0A	09	0B	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273330	Ananta	阿难陀	アナンタ	01	00	2C	01	2C	00	A6	00	00	00	00	00	4D	00	4B	03	7E	01	00	00	00	00	00	00	00	00	00	00	1A	1E	1F	1B	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273360	Andras	安德拉斯	アンドラス	01	00	66	00	1B	00	4E	00	00	00	00	00	6E	00	06	01	00	00	00	00	00	00	00	00	00	00	00	00	0F	13	13	15	0E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273390	Angel	天使	エンジェル	01	00	4C	00	09	00	49	00	00	00	00	00	36	00	56	00	2C	01	00	00	00	00	00	00	00	00	00	00	06	09	05	09	05	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022733C0	Anubis	阿努比斯	アヌビス	01	00	16	00	22	00	66	00	00	00	00	00	33	00	3D	00	3A	00	00	00	00	00	00	00	00	00	00	00	13	18	16	15	17	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022733F0	Anzu	安祖	アンズー	01	00	55	00	19	00	A2	00	00	00	00	00	1F	00	56	01	83	01	00	00	00	00	00	00	00	00	00	00	0E	12	0F	15	0E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
