基址	名称
main+02271555	恶魔果实
main+02271556	疗伤药片50mg
main+02271557	疗伤药片100mg
main+02271558	武见特疗药
main+02271559	魔石
main+0227155A	宝玉
main+0227155B	武见全疗药
main+0227155C	武见全疗药V
main+0227155D	武见全疗药Z
main+0227155E	宝玉环
main+0227155F	灵魂糖果
main+02271560	灵魂鼻烟壶
main+02271561	灵魂口香糖
main+02271562	灵魂食品
main+02271563	返地玉
main+02271564	返魂香
main+02271566	宁息软膏
main+02271567	舒心凝胶
main+02271568	定神胶囊
main+0227156C	苏摩
main+0227156D	甘露汽水
main+0227156E	六芒星
main+0227156F	肌肉饮料
main+02271570	神秘食品
main+02271571	香气卤汁
main+02271573	魔法软膏
main+02271574	物理软膏
main+02271575	罗刹符咒
main+02271576	韦驮天符咒
main+02271577	金刚符咒
main+02271578	卡加消除液
main+02271579	坤达消除液
main+0227157A	汽油弹
main+0227157B	火焰喷枪
main+0227157C	冻结喷雾
main+0227157D	干冰
main+0227157E	空气炮
main+0227157F	真空刀
main+02271580	电击棒
main+02271581	发电线圈
main+02271582	米吉多炸弹
main+02271583	圣体面包
main+02271584	诅咒稻草人
main+02271585	业火勾玉
main+02271586	狂风勾玉
main+02271587	烈寒勾玉
main+02271588	紫电勾玉
main+02271589	精神炸弹
main+0227158A	念力转轮
main+0227158B	原子火柴
main+0227158C	核热鞭炮
main+0227158D	红色炸弹
main+0227158E	施饿鬼米
main+0227158F	诅咒炸弹
main+02271590	五寸钉
main+02271591	药赋活
main+02271592	伤药
main+02271593	回魂软膏
main+02271594	人造人
main+02271596	武见全复生药
main+02271597	武见强效全复生药
main+02271598	限定修护精油
main+0227159E	神通勾玉
main+0227159F	爆热勾玉
main+022715A0	圣天勾玉
main+022715A1	怨念勾玉
main+022715D4	极小咖啡
main+022715D5	宇多川名水
main+022715E3	废物垃圾
main+022715E4	撒钱
main+022715E5	撒道具
main+022715E7	长颈鹿薯条
main+022715E8	粉碎的岩盐
main+022715F0	名产・秋境面包
main+022715FE	名点心・蜜纳豆
main+022715FF	鱿鱼三昧
main+02271610	业余咖啡
main+02271611	极苦咖啡
main+02271612	洗礼水
main+02271613	除灵水
main+02271614	恩典之酒
main+02271615	悔悟之灰
main+02271616	名产・湿炸猪排3明治
main+0227161C	提特拉战锤
main+0227161D	玛卡拉战锤
main+02271629	精胺酸饮料
main+0227162A	胡椒博士NEO
main+0227162B	热量好同伴
main+0227162C	军粮MRE
main+0227162D	军粮燕麦片
main+0227162E	军粮鸡肉饭
main+0227162F	军粮水果
main+02271630	鱼贝青汁
main+02271631	美肌青汁
main+02271632	活性青汁
main+02271633	极苦青汁
main+02271634	温泉青汁
main+02271636	充实卡路里
main+02271638	快乐棒棒糖
main+02271639	融冰石
main+0227163A	净火玉
main+0227163B	除电晶
main+0227163C	盂兰盆节果汁
main+0227163E	三明治
main+0227163F	水果丹麦
main+02271641	炒面面包
main+02271642	异兽
main+02271643	246茶
main+02271644	莫乐蜜G
main+02271645	刚健美茶
main+02271646	奔达
main+02271647	后光的红茶
