基址	名称	JP_NAME	EN_NAME	备注&二级类别
main+0227159A	DVD播放机	DVDプレイヤー	DVD Player	工具功能类
main+0227159B	花园能量	ガーデンエナジー	Garden Energy	植物营养剂
main+0227159C	植物营养剂	植物栄養剤	Bio Nutrients	植物营养剂
main+0227159D	天然・植物营养剂	天然・植物栄養剤	Mega Fertilizer	植物营养剂
main+022715A2	RESERVE	リザーブ	RESERVE	
main+022715A3	RESERVE	リザーブ	RESERVE	
main+022715A4	计算机专用工具组	パソコン用工具セット	PC Tool Set	工具功能类
main+022715A5	RESERVE	リザーブ	RESERVE	
main+022715A6	玻璃花瓶	びいどろの花瓶	Glass Vase	礼物类
main+022715A7	星型手镜	星型の手鏡	Star Mirror	礼物类
main+022715A8	妙味棒超值包	うみゃあ棒お徳用	Snack Pack	礼物类
main+022715A9	逛逛古书店	古書店を歩く	Musty Pages	书籍类
main+022715AA	家电・秘传购物术	家電・マル秘買い物術	Homemaker Hero	
main+022715AB	心型戒指	ハートのリング	Heart Ring	礼物类
main+022715AC	心型项链	ハートのネックレス	Heart Necklace	
main+022715AD	名牌香水	ブランド香水	Designer Perfume	礼物类
main+022715AE	高级香氛组合	高級アロマセット	Luxury Aroma Set	礼物类
main+022715AF	桌上型迷你仙人掌	卓上用ミニサボテン	Mini Cactus	礼物类
main+022715B0	花篮	フラワーバスケット	Flower Basket	礼物类
main+022715B1	玫瑰浴礼盒	ローズバス	Bath of Roses	礼物类
main+022715B2	黑漆马克杯	黒塗りのマグカップ	Black Mug	礼物类
main+022715B3	樱花扇	桜の扇子	Sakura Fan	礼物类
main+022715B4	复刻版钢笔	復刻版万年筆	Fountain Pen	礼物类
main+022715B5	最新型扫地机器人	最新ロボット掃除機	Robot Vacuum	礼物类
main+022715B6	摩托车模型	バイクフィギュア	Motorbike Figure	礼物类
main+022715B7	当地吉祥物周边	ご当地キャラグッズ	Local Mascot Set	礼物类
main+022715CD	绝译・贤人们的名言	凄訳・賢人たちの言葉	Wise Men's Words	书籍类
main+022715CE	传说中的灵异体验	噂の心霊体験	Ghost Encounters	书籍类
main+022715CF	身心舒畅收纳法	心がおちつく片付け法	Tidying the Heart	书籍类
main+022715D0	忠犬斑公	ブチ公物語	Buchiko's Story	书籍类
main+022715D2	RESERVE	リザーブ	RESERVE	
main+022715D3	神拳de痛击	パンチdｅアウト	Punch Ouch	复古游戏
main+022715D6	显像管电视	ブラウン菅テレビ	CRT Television	工具功能类
main+022715D7	RESERVE	リザーブ	RESERVE	
main+022715D8	RESERVE	リザーブ	RESERVE	
main+022715D9	剑豪武勇谈	剣豪武勇譚	Master Swordsman	书籍类
main+022715DA	花卉知识大全	花の知識大全	Flowerpedia	书籍类
main+022715DB	RESERVE	リザーブ	RESERVE	
main+022715DC	RESERVE	リザーブ	RESERVE	
main+022715DD	RESERVE	リザーブ	RESERVE	
main+022715DE	伟人异闻录	偉人異聞録	Heroic Revelations	书籍类
main+022715DF	叫我首领	親分と呼ばれり	Call me Chief	书籍类
main+022715E0	机关解析新书	カラクリ解析新書	The Art of Automata	书籍类
main+022715E1	美男蛮勇录	色男蛮勇録	Reckless Casanova	书籍类
main+022715E6	RESERVE	リザーブ	RESERVE	
main+022715E9	电影票	映画のチケット	Movie Ticket	
main+022715EA	电影02的票	映画０２のチケット	Movie 02 Ticket	
main+022715EB	电影03的票	映画０３のチケット	Movie 03 Ticket	
main+022715EC	电影04的票	映画０４のチケット	Movie 04 Ticket	
main+022715ED	RESERVE	リザーブ	RESERVE	
main+022715EE	RESERVE	リザーブ	RESERVE	
main+022715EF	夏季彩票连号10张	夏のくじ連番10枚	Summer Lotto S	
main+022715F3	重生的小镇	生まれ変わる下町	Shitamachi Reborn	书籍类
main+022715F4	星战佛钮司	スターフォルネウス	Star Forneus	复古游戏
main+022715F5	周末公园访问	週末公園訪問	Weekend Parks	
main+022715F6	垢太郎铁道	垢太郎鉄道	Train of Life	复古游戏
main+022715F7	豪血寺一伙	豪血寺一味	Power Intuition	复古游戏
main+022715F8	识骨循迹	ボーンアナライズ	Bonehead	
main+022715F9	探罪现场	科学捜査班	Crime Lab Squad	
main+022715FA	饿女贝蒂	ハングリー・ベティ	Not-so-hot Betsy	DVD碟
main+022715FB	飞越佛彼利	バブリーヒル高校白書	Bubbly Hills, 90210	DVD碟
main+022715FC	急诊室的阴天	救急ドクター	ICU	DVD碟
main+022715FD	RESERVE	リザーブ	RESERVE	
main+02271600	偶像胸章	アイドル缶バッジ	Idol Pins	礼物类
main+02271601	RESERVE	リザーブ	RESERVE	
main+02271602	RESERVE	リザーブ	RESERVE	
main+02271604	TOKYO神社通	TOKYO神社通	Tokyo Shrines	书籍类
main+02271605	钓场推荐指南	釣り堀のススメ	Fishpond Spotter	书籍类
main+02271606	闲逛四茶4月号	四茶みちくさ4月号	Yoncha Walker 04	书籍类
main+02271607	星空博物馆	星空ミュージアム	Night Skies	书籍类
main+02271608	杰克霜精玩偶	ジャックフロスト人形	Jack Frost Doll	装饰摆件
main+02271609	汉堡君玩偶	バーガーくん人形	Burger-kun Doll	装饰摆件
main+0227160A	颤抖君玩偶	ワナワナくん人形	Wanna-kun Doll	装饰摆件
main+0227160B	蕾西玩偶	レキシー人形	Lexy Doll	装饰摆件
main+0227160C	宇治抹茶布丁	宇治抹茶プリン	Uji Match Flan	礼物类
main+0227160D	松露巧克力	トリュフチョコレート	Truffles	礼物类
main+0227160E	RESERVE	リザーブ	RESERVE	
