基址	名称	角色
main+02270B56	进击小刀	主人公
main+02270B57	廓尔喀刀	主人公
main+02270B58	怪盗绅土手杖	主人公
main+02270B59	冰封匕首	主人公
main+02270B5A	仪式小刀	主人公
main+02270B5C	剥皮小刀	主人公
main+02270B5E	电击比首	主人公
main+02270B5F	夺命手术刀	主人公
main+02270B61	月牙镰刀	主人公
main+02270B62	专业级剥皮小刀	主人公
main+02270B64	超级小刀	主人公
main+02270B65	皇家匕首	主人公
main+02270B67	开山刀	主人公
main+02270B68	巴赛拉德短剑	主人公
main+02270B6A	狂怒匕首	主人公
main+02270B6B	名人的格挡匕首	主人公
main+02270B6D	慈悲短剑	主人公
main+02270B6E	格挡匕首	主人公
main+02270B71	科皮斯弯刀	主人公
main+02270B72	炽火刀	主人公
main+02270B77	失乐园	主人公
main+02270B79	普通棍棒	坂本龙司
main+02270B7A	审判钉锤	坂本龙司
main+02270B7B	地狱强棒	坂本龙司
main+02270B7C	重钢管	坂本龙司
main+02270B7E	战锤	坂本龙司
main+02270B7F	高级铁管	坂本龙司
main+02270B81	重型钉锤	坂本龙司
main+02270B82	尖刺棍棒	坂本龙司
main+02270B84	玄翁	坂本龙司
main+02270B85	鬼铁管	坂本龙司
main+02270B87	工头专用玄翁	坂本龙司
main+02270B88	盖亚镇压者	坂本龙司
main+02270B8A	永眠的昏睡棒	坂本龙司
main+02270B8B	电击棍	坂本龙司
main+02270B8D	龙神棒	坂本龙司
main+02270B8E	大地镇压者	坂本龙司
main+02270B8F	末日棍棒	坂本龙司
main+02270B90	超百万吨棍棒	坂本龙司
main+02270B94	热血球棒	坂本龙司
main+02270B95	如意棒	坂本龙司
main+02270B97	昏睡棒	坂本龙司
main+02270B9A	暴徒之星	坂本龙司
main+02270B9C	妙尔尼尔	坂本龙司
main+02270B9D	劫匪之剑	摩尔加纳
main+02270B9E	猎头勺	摩尔加纳
main+02270B9F	雨月弯刀	摩尔加纳
main+02270BA0	短弯刀	摩尔加纳
main+02270BA1	音速刀	摩尔加纳
main+02270BA2	塔尔瓦刀	摩尔加纳
main+02270BA4	安眠刀	摩尔加纳
main+02270BA5	新月刀	摩尔加纳
main+02270BA6	弑血短弯刀	摩尔加纳
main+02270BA7	夜须礼之剑	摩尔加纳
main+02270BA8	首领的弯刀	摩尔加纳
main+02270BAA	宇宙电浆剑	摩尔加纳
main+02270BAB	大马士革剑	摩尔加纳
main+02270BAC	热血之剑	摩尔加纳
main+02270BAD	重型军刀	摩尔加纳
main+02270BAF	慌乱之剑	摩尔加纳
main+02270BB1	灵光剑	摩尔加纳
main+02270BB3	应答者	摩尔加纳
main+02270BB6	光之剑	摩尔加纳
main+02270BBD	神威军刀	摩尔加纳
main+02270BC0	皮鞭	高卷杏
main+02270BC2	裂肤者	高卷杏
main+02270BC3	炽红鞭	高卷杏
main+02270BC4	战土鞭	高卷杏
main+02270BC5	伴手礼的装饰鞭	高卷杏
main+02270BC6	燃火鞭	高卷杏
main+02270BC7	女英豪之鞭	高卷杏
main+02270BC9	蛇腹剑	高卷杏
main+02270BCA	电磁鞭	高卷杏
main+02270BCC	幻象鞭	高卷杏
main+02270BCD	强袭之尾	高卷杏
main+02270BCF	大蛇腹剑	高卷杏
main+02270BD0	锁链鞭	高卷杏
main+02270BD2	痛楚之畏	高卷杏
