基址	名称	JP_NAME	EN_NAME	角色/性别	备注&二级类别
main+02270F55	RESERVE	リザーブ	RESERVE	-	
main+02270F56	暗黑内搭衣	ダークインナー	Dark Undershirt	♂	
main+02270F57	坂本龙司	プリントＴシャツ	Print TShirt	♂	
main+02270F58	领巾	ネッカチーフ	Neckerchief	猫	
main+02270F59	运动外套	スタジアムパーカー	Baseball Jacket	♀	
main+02270F5A	礼服衬衫	ドレスシャツ	Dress Shirt	♀	
main+02270F5B	修身高领衫	スリムハイネック	Turtleneck	♀	
main+02270F5C	粉色上衣	ピンクトップス	Pink Top	♀	
main+02270F5D	宽松针织衫	ルーズカットソー	Loose Cutsew	♀	
main+02270F5E	正装衬衫	フォーマルシャツ	Formal Shirt	♂	
main+02270F5F	轻薄内搭衣	ライトインナー	Light Undershirt	♀	
main+02270F60	混沌内搭衣	カオスインナー	Chaos Undershirt	♂	
main+02270F61	RESERVE	リザーブ	RESERVE	♂	
main+02270F62	精鬼的老旧防具	精鬼のすすけた防具	Sooty Ghastly Gear	♂♀	
main+02270F63	RESERVE	リザーブ	RESERVE	-	
main+02270F64	肩垫	ショルダーパッド	Shoulder Pads	♂	
main+02270F65	背诵的小背心	強記のキャミ	Confident Camisole	♀	
main+02270F66	山猫迷彩背心	山猫迷彩ベスト	Lynx Camo Vest	♂♀	
main+02270F67	回忆围领	メモリアルカラー	Memorial Collar	猫	
main+02270F68	老旧的猫骑士项圈	古い猫騎士の首輪	Old Cat Collar	猫	
main+02270F69	猫骑士项圈	猫騎士の首輪	Cat Knight's Collar	猫	
main+02270F6A	老旧的公爵大衣	古い公爵の外套	Old Duke's Coat	♂	
main+02270F6B	公爵大衣	公爵の外套	Duke's Coat	♂	
main+02270F6C	RESERVE	リザーブ	RESERVE	♂	
main+02270F6D	RESERVE	リザーブ	RESERVE	♀	
main+02270F6E	RESERVE	リザーブ	RESERVE	♂♀	
main+02270F6F	猫用针织外套	猫ニットブルゾン	Cat Sweater	猫	
main+02270F70	老旧的天使披肩	古い天使のケープ	Old Angels' Cape	♀	
main+02270F71	天使披肩	天使のケープ	Angel's Cape	♀	
main+02270F72	老旧的梦魔睡衣	古い夢魔のパジャマ	Old Pajamas	♂♀	
main+02270F73	梦魔睡衣	夢魔のパジャマ	Succubus Pajamas	♂♀	
main+02270F74	圣人的罗马袍	聖人のトゥニカ	Saint's Tunic	♂	
main+02270F75	多功能围裙	多機能エプロン	Robust Apron	♀	
main+02270F76	护符衬衫	護符シャツ	Amulet Shirt	♂♀	
main+02270F77	微风领巾	そよ風スカーフ	Breeze Scarf	猫	
main+02270F78	丝绸礼服	シルクのドレス	Silk Dress	♀	
main+02270F79	顶级丝绸礼服	極上シルクのドレス	Fine Silk Dress	♀	
main+02270F7A	霜精头巾	フロスト頭巾	Frost Hood	猫	
main+02270F7B	王牌霜精头巾	フロストエース頭巾	Frost Ace Hood	猫	
main+02270F7C	生存背心	サバイバルベスト	Survival Vest	♂	
main+02270F7D	淑女礼服	淑女のドレス	Lady's Dress	♀	
main+02270F7E	无心作务衣	無心の作務衣	Zen Outfit	♂♀	
main+02270F7F	伊丽莎白围领	エリザベスカラー	Cone Collar	猫	
main+02270F80	老旧的式神服	古い式神装束	Old Ghastly Dress	♂	
main+02270F81	式神服	式神装束	Shikigami Dress	♂	
main+02270F82	老旧的妖精旗袍	古い妖精のチャイナ服	Old Cheongsam	♀	
main+02270F83	妖精旗袍	妖精のチャイナ服	Fairy Cheongsam	♀	
main+02270F84	老旧的神威领巾	古いカムイスカーフ	Old Mythical Scarf	猫	
main+02270F85	神威领巾	カムイスカーフ	Mythical Scarf	猫	
main+02270F86	RESERVE	リザーブ	RESERVE	-	
main+02270F87	RESERVE	リザーブ	RESERVE	-	
main+02270F88	宇宙内搭衣	コスモスインナー	Cosmic Undies	♂	
main+02270F89	雷霆罩衫	ライトニングブラウス	Lightning Blouse	♀	
main+02270F8A	熬夜羽织	夜鍋の羽織	Night Shift Haori	♂♀	
main+02270F8B	橡胶围巾	ラバーマフラー	Rubber Scarf	猫	
main+02270F8C	显灵礼服	霊験ドレス	Heavensent Dress	♀	
main+02270F8D	尊贵不凡的显灵礼服	至高の霊験ドレス	Godsent Dress	♀	
main+02270F8E	RESERVE	リザーブ	RESERVE	-	
main+02270F8F	RESERVE	リザーブ	RESERVE	-	
main+02270F90	运动服	アスリートシャツ	Athletic Shirt	♂	
main+02270F91	强化小背心	パワードキャミ	Power Camisole	♀	
main+02270F92	RESERVE	リザーブ	RESERVE	-	
main+02270F93	硬质领巾	ハードスカーフ	Hard Scarf	猫	
main+02270F94	老旧的不义羽织	古い仁義なき羽織	Old Haori	♂	
main+02270F95	不义羽织	仁義なき羽織	Dishonored Haori	♂	
main+02270F96	老旧的猫妖盔甲	古い猫又具足	Old Coat	猫	
main+02270F97	猫妖盔甲	猫又具足	Nekomata Coat	猫	
main+02270F98	老旧的野蛮老婆围裙	古い鬼嫁エプロン	Old Fiery Apron	♀	
main+02270F99	野蛮老婆围裙	鬼嫁エプロン	Fiery Apron	♀	
main+02270F9A	血红斗牛土披肩	血赤のカポーテ	Blood Red Capote	♂	
main+02270F9B	鲜血斗牛士披肩	鮮血のカポーテ	Bloodied Capote	♂	
main+02270F9C	曼陀罗背心	マンダラベスト	Mandala Vest	♂	
main+02270F9D	极乐净土袍	エリュシオンローブ	Elysian Robe	♀	
main+02270F9E	教皇的内搭衣	法王の内衣	Papal Robes	♂♀	
main+02270F9F	本我的项圈	イドの首輪	Id Collar	猫	
main+02270FA0	RESERVE	リザーブ	RESERVE	-	
main+02270FA1	RESERVE	リザーブ	RESERVE	-	
main+02270FA2	RESERVE	リザーブ	RESERVE	-	
main+02270FA3	RESERVE	リザーブ	RESERVE	-	
main+02270FA4	军队背心	アーミーベスト	Army Vest	♂	
main+02270FA5	硬质束腰紧身衣	ハードコルセット	Hard Corset	♀	
main+02270FA6	RESERVE	リザーブ	RESERVE	-	
main+02270FA7	闪亮围领	イルミナカラー	Sparkly Collar	猫	
main+02270FA8	老旧的皇家圣衣	古い王家の聖衣	Old Shroud	♂	
main+02270FA9	皇家圣衣	王家の聖衣	Royal Holy Shroud	♂	
main+02270FAA	老旧的秘密仪式袍	古い秘儀のローブ	Old Robe	♀	
main+02270FAB	秘密仪式袍	秘儀のローブ	Arcane Robe	♀	
main+02270FAC	老旧的蛇皮领巾	古い蛇皮スカーフ	Old Snakeskin Scarf	猫	
main+02270FAD	蛇皮领巾	蛇皮スカーフ	Snakeskin Scarf	猫	
main+02270FAE	妖精骑土的护胸	妖精騎士の胸当て	Fairy Knight Armor	♂	
main+02270FAF	幻魔的护胸	幻魔の胸当て	Fairy Hero Armor	♂	
main+02270FB0	凉爽背心	クールベスト	Cool Vest	♂	
main+02270FB1	钛金束腰紧身衣	チタンコルセット	Titanium Corset	♀	
main+02270FB2	希望衬衫	希望のシャツ	Hope Shirt	♂♀	
main+02270FB3	沉静项圈	消沈の首輪	Morose Collar	猫	
main+02270FB4	荒霸吐项链	タップスアン	Tapsuan	♀	
main+02270FB5	顶级荒霸吐项链	極上タップスアン	Fine Tapsuan	♀	
main+02270FB6	RESERVE	リザーブ	RESERVE	-	
main+02270FB7	RESERVE	リザーブ	RESERVE	-	
main+02270FB8	巨人背心	ギガントベスト	Gigas Vest	♂	
main+02270FB9	高叉内搭衣	ハイレグインナー	Maillot	♀	
main+02270FBA	RESERVE	リザーブ	RESERVE	-	
main+02270FBB	无敌围领	アルマダカラー	Armada Collar	猫	
main+02270FBC	老旧的小恶魔内搭衣	古い小悪魔インナー	Old Undershirt	♀	
main+02270FBD	小恶魔内搭衣	小悪魔インナー	Lil Devil Undershirt	♀	
main+02270FBE	老旧的带电领巾	古い帯電スカーフ	Old Shocking Scarf	猫	
main+02270FBF	带电领巾	帯電スカーフ	Shocking Scarf	猫	
main+02270FC0	老旧的吉利迷彩背心	古いギリーベスト	Old Ghillie Vest	♂	
main+02270FC1	吉利迷彩背心	ギリーベスト	Ghillie Vest	♂	
main+02270FC2	RESERVE	リザーブ	RESERVE	-	
main+02270FC3	RESERVE	リザーブ	RESERVE	-	
main+02270FC4	刻露羽织	刻露の羽織	Austere Haori	♂	
main+02270FC5	邪马礼服	邪馬のドレス	Yama Dress	♀	
main+02270FC6	卢恩符文背心	ルーンベスト	Rune Vest	♂♀	
main+02270FC7	勇气领巾	ブレイヴスカーフ	Brave Scarf	猫	
main+02270FC8	幸运长袍	幸運のローブ	Lucky Robe	♀	
