基址	名称	JP_NAME	EN_NAME	备注&二级类别
main+02271E54	空白(禁止使用)	ブランク（使用禁止)	BLANK	
main+02271E55	亚基	アギ	Agi	
main+02271E56	亚基拉欧	アギラオ	Agilao	
main+02271E57	亚基达因	アギダイン	Agidyne	
main+02271E58	玛哈拉基	マハラギ	Maragi	
main+02271E59	玛哈拉基翁	マハラギオン	Maragion	
main+02271E5A	玛哈拉基达因	マハラギダイン	Maragidyne	
main+02271E5B	布芙	ブフ	Bufu	
main+02271E5C	布芙拉	ブフーラ	Bufula	
main+02271E5D	布芙达因	ブフダイン	Bufudyne	
main+02271E5E	玛哈布芙	マハブフ	Mabufu	
main+02271E5F	玛哈布芙拉	マハブフーラ	Mabufula	
main+02271E60	玛哈布芙达因	マハブフダイン	Mabufudyne	
main+02271E61	加尔	ガル	Garu	
main+02271E62	加尔拉	ガルーラ	Garula	
main+02271E63	加尔达因	ガルダイン	Garudyne	
main+02271E64	玛哈加尔	マハガル	Magaru	
main+02271E65	玛哈加尔拉,	マハガルーラ	Magarula	
main+02271E66	玛哈加尔达因	マハガルダイン	Magarudyne	
main+02271E67	吉欧	ジオ	Zio	
main+02271E68	吉欧加	ジオンガ	Zionga	
main+02271E69	吉欧达因	ジオダイン	Ziodyne	
main+02271E6A	玛哈吉欧	マハジオ	Mazio	
main+02271E6B	玛哈吉欧加	マハジオンガ	Mazionga	
main+02271E6C	玛哈吉欧达因	マハジオダイン	Maziodyne	
main+02271E6D	哈玛	ハマ	Hama	
main+02271E6E	哈玛翁	ハマオン	Hamaon	
main+02271E6F	玛翰玛	マハンマ	Mahama	
main+02271E70	玛翰玛翁	マハンマオン	Mahamaon	
main+02271E71	克哈	コウハ	Kouha	
main+02271E72	克加	コウガ	Kouga	
main+02271E73	克加翁	コウガオン	Kougaon	
main+02271E74	玛哈克哈	マハコウハ	Makouha	
main+02271E75	玛哈克加	マハコウガ	Makouga	
main+02271E76	玛哈克加翁	マハコウガオン	Makougaon	
main+02271E77	姆多	ムド	Mudo	
main+02271E78	姆多翁	ムドオン	Mudoon	
main+02271E79	玛哈姆多	マハムド	Mamudo	
main+02271E7A	玛哈姆多翁	マハムドオン	Mamudoon	
main+02271E7B	耶哈	エイハ	Eiha	
main+02271E7C	耶加	エイガ	Eiga	
main+02271E7D	耶加翁	エイガオン	Eigaon	
main+02271E7E	玛哈耶哈	マハエイハ	Maeiha	
main+02271E7F	玛哈耶加	マハエイガ	Maeiga	
main+02271E80	玛哈耶加翁	マハエイガオン	Maeigaon	
main+02271E81	米吉多	メギド	Megido	
main+02271E82	米吉多拉	メギドラ	Megidola	
main+02271E83	米吉多拉翁	メギドラオン	Megidolaon	
main+02271E84	芙雷	フレイ	Frei	
main+02271E85	芙雷拉	フレイラ	Freila	
main+02271E86	芙雷达因	フレイダイン	Freidyne	
main+02271E87	玛哈芙雷	マハフレイ	Mafrei	
main+02271E88	玛哈芙雷拉	マハフレイラ	Mafreila	
main+02271E89	玛哈芙雷达因	マハフレイダイン	Mafreidyne	
main+02271E8A	致盲	目眩し	Dazzler	
main+02271E8B	黑夜闪光	闇夜の閃光	Nocturnal Flash	
main+02271E8C	普林帕	プリンパ	Pulinpa	
main+02271E8D	颠塔拉弗	テンタラフー	Tentarafoo	
main+02271E8E	恶魔之触	デビルタッチ	Evil Touch	
main+02271E8F	恶魔微笑	デビルスマイル	Evil Smile	
main+02271E90	玛卡加玛	マカジャマ	Makajama	
main+02271E91	玛卡加玛翁	マカジャマオン	Makajamaon	
main+02271E92	饥饿气息	飢餓の吐息	Famine's Breath	
main+02271E93	饥饿吼叫	飢餓の叫び	Famine's Scream	
main+02271E94	永眠	ドルミナー	Dormina	
main+02271E95	摇篮曲	スリープソング	Lullaby	
main+02271E96	挑衅	挑発	Taunt	
main+02271E97	宣战宣言	宣戦布告	Wage War	
main+02271E98	不吉的话语	不吉な言葉	Ominous Words	
main+02271E99	深渊的波动	奈落の波動	Abysmal Surge	
main+02271E9A	马琳卡琳	マリンカリン	Marin Karin	
main+02271E9B	精神污染	ブレインジャック	Brain Jack	
main+02271E9C	袋中鼠	フクロノネズミ	Trapped Rat	
main+02271E9D	自爆	自爆	Self-destruct	未使用
main+02271E9E	自爆	自爆	Self-destruct	未使用
main+02271E9F	自爆	自爆	Self-destruct	未使用
main+02271EA0	吸血	吸血	Life Drain	
main+02271EA1	吸魔	吸魔	Spirit Drain	
main+02271EA2	强力吸血	超吸血	Life Leech	
main+02271EA3	强力吸魔	超吸魔	Spirit Leech	
main+02271EA4	污秽吐息	淀んだ吐息	Foul Breath	
main+02271EA5	污秽空气	淀んだ空気	Stagnant Air	
main+02271EA6	亡者喟叹	亡者の嘆き	Ghastly Wail	
main+02271EA7	炼狱	インフェルノ	Inferno	
main+02271EA8	大燃烧	大炎上	Blazing Hell	
main+02271EA9	钻石星尘	ダイアモンドダスト	Diamond Dust	
main+02271EAA	大冰河时期	大氷河期	Ice Age	
main+02271EAB	万物流转	万物流転	Panta Rhei	
main+02271EAC	真空波	真空波	Vacuum Wave	
