HEX	名称	JP_NAME	EN_NAME	备注
0000	----------	----------	----------	
0001	空栏	ブランク	BLANK	空栏
0002	空栏	ブランク	BLANK	空栏
0003	空栏	ブランク	BLANK	空栏
0004	空栏	ブランク	BLANK	空栏
0005	空栏	ブランク	BLANK	空栏
0006	空栏	ブランク	BLANK	空栏
0007	空栏	ブランク	BLANK	空栏
0008	空栏	ブランク	BLANK	空栏
0009	空栏	ブランク	BLANK	空栏
000A	亚基	アギ	Agi	
000B	亚基拉欧	アギラオ	Agilao	
000C	亚基达因	アギダイン	Agidyne	
000D	玛哈拉基	マハラギ	Maragi	
000E	玛哈拉基翁	マハラギオン	Maragion	
000F	玛哈拉基达因	マハラギダイン	Maragidyne	
0010	亚基	アギ	Agi	空栏
0011	玛哈拉基	マハラギ	Maragi	空栏
0012	火焰珠	火炎玉	Fire Ball	空栏
0013	强势珠	グングン玉	Raging Flames	空栏
0014	布芙	ブフ	Bufu	
0015	布芙拉	ブフーラ	Bufula	
0016	布芙达因	ブフダイン	Bufudyne	
0017	玛哈布芙	マハブフ	Mabufu	
0018	玛哈布芙拉	マハブフーラ	Mabufula	
0019	玛哈布芙达因	マハブフダイン	Mabufudyne	
001A	布芙	ブフ	Bufu	空栏
001B	玛哈布芙	マハブフ	Mabufu	空栏
001C	冰冻珠	氷結玉	Snow Ball	空栏
001D	米吉多拉翁	メギドラオン	Megidolaon	空栏
001E	加尔	ガル	Garu	
001F	加尔拉	ガルーラ	Garula	
0020	加尔达因	ガルダイン	Garudyne	
0021	玛哈加尔	マハガル	Magaru	
0022	玛哈加尔拉,	マハガルーラ	Magarula	
0023	玛哈加尔达因	マハガルダイン	Magarudyne	
0024	加尔	ガル	Garu	空栏
0025	疾风珠	疾風玉	Gale Ball	空栏
0026	祝福珠	祝福玉	Bless Ball	空栏
0027	咒怨珠	呪怨玉	Curse Ball	空栏
0028	吉欧	ジオ	Zio	
0029	吉欧加	ジオンガ	Zionga	
002A	吉欧达因	ジオダイン	Ziodyne	
002B	玛哈吉欧	マハジオ	Mazio	
002C	玛哈吉欧加	マハジオンガ	Mazionga	
002D	玛哈吉欧达因	マハジオダイン	Maziodyne	
002E	吉欧	ジオ	Zio	空栏
002F	玛哈吉欧	マハジオ	Mazio	空栏
0030	电击珠	電撃玉	Volt Ball	空栏
0031	钱雨	金の雨	Make it Rain	空栏
0032	哈玛	ハマ	Hama	
0033	哈玛翁	ハマオン	Hamaon	
0034	玛翰玛	マハンマ	Mahama	
