基址	名称	JP_NAME	EN_NAME
main+02271A54	空栏	ブランク	BLANK
main+02271A55	RESERVE	リザーブ	RESERVE
main+02271A56	RESERVE	リザーブ	RESERVE
main+02271A57	RESERVE	リザーブ	RESERVE
main+02271A58	RESERVE	リザーブ	RESERVE
main+02271A59	RESERVE	リザーブ	RESERVE
main+02271A5A	RESERVE	リザーブ	RESERVE
main+02271A5B	RESERVE	リザーブ	RESERVE
main+02271A5C	RESERVE	リザーブ	RESERVE
main+02271A5D	RESERVE	リザーブ	RESERVE
main+02271A5E	RESERVE	リザーブ	RESERVE
main+02271A5F	RESERVE	リザーブ	RESERVE
main+02271A60	RESERVE	リザーブ	RESERVE
main+02271A61	RESERVE	リザーブ	RESERVE
main+02271A62	RESERVE	リザーブ	RESERVE
main+02271A63	RESERVE	リザーブ	RESERVE
main+02271A64	RESERVE	リザーブ	RESERVE
main+02271A65	RESERVE	リザーブ	RESERVE
main+02271A66	荣光权杖	栄光ある王の杖	Glory Staff
main+02271A67	祝福号角	祝福のラッパ	Blessed Trumpet
main+02271A68	胜利者的月桂冠	勝者の月桂冠	Victor Laurel
main+02271A69	磁器茶杯	磁器のティーカップ	Porcelain Teacup
main+02271A6A	银色餐具	銀色のカトラリー	Silver Cutlery
main+02271A6B	怪火提灯	怪火のランタン	Strange Lantern
main+02271A6C	裸女烛台	裸婦の燭台	Nude Candle Stand
main+02271A6D	铁球脚镣	鉄球つきの足枷	Shackles
main+02271A6E	铁锁项圈	錠前のついた首輪	Locked Collar
main+02271A6F	刃面受损的剑	刃こぼれした剣	Dull Sword
main+02271A70	破洞头盔	穴の空いた兜	Holey Helmet
main+02271A71	受损的盾	つぶれた盾	Crushed Shield
main+02271A72	生锈的锁链手铐	錆びた鎖の手錠	Rusted Handcuffs
main+02271A73	破损的酒杯	欠けたワイングラス	Chipped Glass
main+02271A74	美女浮世绘	美人の浮世絵	Ukiyo-e
main+02271A75	山水的水墨画	山水の水墨画	Ink Wash Art
main+02271A76	花鸟画的挂轴	花鳥画の掛け軸	Hanging Scroll
main+02271A77	戏画的绘卷	戯画の絵巻物	Picture Scroll
main+02271A78	般若面具	般若の能面	Hannya Mask
main+02271A79	兽毛画笔	獣毛の絵筆	Animal Brush
main+02271A7A	优质和纸	良質な和紙	Fine Washi
main+02271A7B	脱线的衣带	ほつれた帯	Loose Sash
main+02271A7C	龟裂的花瓶	ヒビ割れた花瓶	Cracked Vase
main+02271A7D	发黑的铁瓶	すすけた鉄瓶	Sooty Kettle
main+02271A7E	无铭的茶碗	無銘の茶碗	Unsigned Mug
main+02271A7F	塑料画框	プラスチックの額縁	Plastic Frame
main+02271A80	难看的自画像	下手な自画像	Crappy Portrait
main+02271A81	歪掉的自刻像	いびつな自刻像	Bad Sculpture
main+02271A82	纪念金币	金の記念硬貨	Gold Coin
main+02271A83	大企业的股票	大手企業の株券	Stock Certificate
main+02271A84	琥珀印章	コハクの印鑑	Amber Stamp
main+02271A85	贵重的古纸币	貴重な古紙幣	Precious Bill
main+02271A86	珍奇的古钱	珍しい古銭	Rare Coin
main+02271A87	老旧的硬币	古めかしいコイン	Old Coin
main+02271A88	皮革印章盒	革の印鑑ケース	Leather Case
main+02271A89	金库转盘锁	金庫のダイヤル	Safe Dial
main+02271A8A	点钞机	マネーカウンター	Money Counter
main+02271A8B	商务计算器	実務用電卓	Office Calculator
