基址	名称	JP_NAME	EN_NAME	角色/性别
main+0227245A	未使用	未使用	Unused	-
main+0227245B	未使用	未使用	Unused	-
main+0227245C	未使用	未使用	Unused	-
main+0227245D	未使用	未使用	Unused	-
main+0227245E	未使用	未使用	Unused	-
main+0227245F	未使用	未使用	Unused	-
main+02272460	未使用	未使用	Unused	-
main+02272461	未使用	未使用	Unused	-
main+02272462	未使用	未使用	Unused	-
main+02272463	未使用	未使用	Unused	-
main+02272464	托卡其夫	トカチェフ	Tkachev	主人公
main+02272465	盖巴南斯	ガバナンス	Governance	主人公
main+02272466	RESERVE	リザーブ	RESERVE	主人公
main+02272467	疯狂警察E	マッドポリス	Riot Police	主人公
main+02272468	RESERVE	リザーブ	RESERVE	主人公
main+02272469	马卡罗福	マカロノフ	Makaronov	主人公
main+0227246A	极・破坏神皇	極・破壊神皇	Nataraja EX	主人公
main+0227246B	RESERVE	リザーブ	RESERVE	主人公
main+0227246C	RESERVE	リザーブ	RESERVE	主人公
main+0227246D	RESERVE	リザーブ	RESERVE	主人公
main+0227246E	RESERVE	リザーブ	RESERVE	主人公
main+0227246F	西格・227	ジグ・227	Jig 227	主人公
main+02272470	RESERVE	リザーブ	RESERVE	主人公
main+02272471	RESERVE	リザーブ	RESERVE	主人公
main+02272472	极・万魔枪	極・万魔の銃	Tyrant Pistol EX	主人公
main+02272473	黑色模拟枪	黒い模擬銃	Model Gun	主人公
main+02272474	雷宾逊M31	レビンソンＭ３１	Levinson M31	坂本龙司
main+02272475	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272476	格拉尼利M3	グラネリＭ３	Granelli M3	坂本龙司
main+02272477	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272478	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272479	法兰克萨巴斯	ブランコ・サバス	Bianchi SBAS	坂本龙司
main+0227247A	RESERVE	リザーブ	RESERVE	坂本龙司
main+0227247B	烟花	ファイアワークス	Fireworks	坂本龙司
main+0227247C	南瓜炸裂弹	パンプキンバスタ	Pumpkin Buster	坂本龙司
main+0227247D	米吉多爆能枪	メギドブラスター	Megido Blaster	坂本龙司
main+0227247E	RESERVE	リザーブ	RESERVE	坂本龙司
main+0227247F	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272480	南瓜炸弹	パンプキンボム	Pumpkin Bomb	坂本龙司
main+02272481	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272482	万能钥匙	マスターキー	Masterkey	坂本龙司
main+02272483	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272484	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272485	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272486	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272487	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272488	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272489	RESERVE	リザーブ	RESERVE	坂本龙司
main+0227248A	RESERVE	リザーブ	RESERVE	坂本龙司
main+0227248B	RESERVE	リザーブ	RESERVE	坂本龙司
main+0227248C	RESERVE	リザーブ	RESERVE	坂本龙司
main+0227248D	RESERVE	リザーブ	RESERVE	坂本龙司
main+0227248E	逆转	リバージョン	Reversion	坂本龙司
main+0227248F	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272490	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272491	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272492	地狱之火	ヘルファイア	Hellfire	坂本龙司
main+02272493	RESERVE	リザーブ	RESERVE	坂本龙司
main+02272494	弹弓	パチンコ	Slingshot	摩尔加纳
main+02272495	RESERVE	リザーブ	RESERVE	摩尔加纳
main+02272496	RESERVE	リザーブ	RESERVE	摩尔加纳
main+02272497	RESERVE	リザーブ	RESERVE	摩尔加纳
main+02272498	伯劳鸟	シュライク	Shrike	摩尔加纳
main+02272499	RESERVE	リザーブ	RESERVE	摩尔加纳
main+0227249A	瞌睡破坏者	キャットバスタ	Cat Buster	摩尔加纳
main+0227249B	彗星3	コメット３	Comet 3	摩尔加纳
main+0227249C	RESERVE	リザーブ	RESERVE	摩尔加纳
main+0227249D	极・善见神轮	極・スダルサナ	Sudarshana EX	摩尔加纳
main+0227249E	RESERVE	リザーブ	RESERVE	摩尔加纳
main+0227249F	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A0	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A1	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A2	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A3	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A4	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A5	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A6	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A7	夜梦岩弩	夜夢岩弩	Dreamstone	摩尔加纳
main+022724A8	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724A9	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724AA	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724AB	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724AC	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724AD	隼鹰	ファルコン	Falcon	摩尔加纳
main+022724AE	瞌睡虫	キャットナップ	Catnap	摩尔加纳
main+022724AF	RESERVE	リザーブ	RESERVE	摩尔加纳
